"mp","Fadv","P3.B.Blim.","Catch.MSY","SD.Catch","AAV","F.Fmsy","B.Bmsy","B.80Bmsy"
"Fmsy.OM",0.001,0.06,1.052,0.537,0.401,0.976,1.258,1
"Feq1.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.975.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.95.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.925.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.9.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.875.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.85.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.825.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.8.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.775.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.75.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.725.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.7.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.675.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.65.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.625.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.6.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.575.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.55.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.525.Btri.eq",0.001,0.06,1.043,0.541,0.398,0.969,1.258,1
"Feq0.5.Btri.eq",0,0.06,0,0,0.248,0,1.262,1
